_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag.1.277: @(8.394, 8.389, 126.03)>",8.39395139857336,8.3893333951683,126.025033812623,169800153361.851
"<PK:noesy_HSQC_SilB41_1ag.1.278: @(8.393, 4.12, 126.03)>",8.39303901724364,4.11970053896418,126.03302547551,54079422843.4623
"<PK:noesy_HSQC_SilB41_1ag.1.279: @(8.394, 1.191, 126.04)>",8.39447875647235,1.19084001404252,126.040126888102,21722018850.0452
"<PK:noesy_HSQC_SilB41_1ag.1.280: @(8.393, 0.363, 126.02)>",8.39253575435935,0.362690888546545,126.020780222963,16653072417.9061
"<PK:noesy_HSQC_SilB41_1ag.1.281: @(8.688, 8.687, 127.05)>",8.68832665158592,8.68694572331333,127.04907953941,99923818212.4587
"<PK:noesy_HSQC_SilB41_1ag.1.282: @(8.689, 6.616, 127.1)>",8.68917270952467,6.61572981163462,127.098016152902,15181728146.9459
"<PK:noesy_HSQC_SilB41_1ag.1.283: @(8.689, 3.394, 127.05)>",8.68895883521895,3.3944063758191,127.051110077052,27509209196.4003
"<PK:noesy_HSQC_SilB41_1ag.1.284: @(8.688, 1.176, 127.05)>",8.68839222977025,1.17623560677256,127.05330687711,15856318317.0078
"<PK:noesy_HSQC_SilB41_1ag.1.285: @(8.689, 0.962, 127.03)>",8.68882146879496,0.961635826473163,127.031632023426,14145510609.2607
"<PK:noesy_HSQC_SilB41_1ag.1.286: @(8.689, 0.596, 127.03)>",8.68890145430766,0.595931395055361,127.032231443183,6945638268.63276
"<PK:noesy_HSQC_SilB41_1ag.1.287: @(8.69, 0.355, 127.04)>",8.68977135885889,0.355033329582,127.038404900458,6544752452.1314
"<PK:noesy_HSQC_SilB41_1ag.1.288: @(8.688, -1.077, 127.06)>",8.68783978324771,-1.0766027124647,127.060396707954,11384925362.7034
"<PK:noesy_HSQC_SilB41_1ag.1.289: @(6.613, 6.618, 112.07)>",6.61305507960641,6.61839348351673,112.067187031141,188910374295.197
"<PK:noesy_HSQC_SilB41_1ag.1.290: @(6.616, 4.466, 111.95)>",6.61602447966507,4.46597738594282,111.948136965599,4890750740.25771
"<PK:noesy_HSQC_SilB41_1ag.1.291: @(6.612, 3.4, 111.92)>",6.61194273449493,3.40002885363156,111.922992735222,5855678105.85992
"<PK:noesy_HSQC_SilB41_1ag.1.292: @(6.615, 0.965, 111.95)>",6.61516053676696,0.965151554831771,111.947884740884,7127824973.49348
"<PK:noesy_HSQC_SilB41_1ag.1.293: @(6.617, 0.589, 111.94)>",6.61728288527802,0.58932596657639,111.94250257431,3870861270.45688
"<PK:noesy_HSQC_SilB41_1ag.1.294: @(6.613, 0.29, 111.96)>",6.61332732843227,0.29045919430227,111.964412151401,5709519357.94117
